date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:20	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:30%20GMT	http://app.pillar.io/css/chunk-5b04724d.bd37bfa9.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-5b04724d.bd37bfa9.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:20	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:30%20GMT	http://app.pillar.io/css/chunk-5b450e73.adc5abb1.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-5b450e73.adc5abb1.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:20	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:30%20GMT	http://app.pillar.io/css/chunk-5fb29fa7.24a2354e.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-5fb29fa7.24a2354e.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:20	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:30%20GMT	http://app.pillar.io/css/chunk-60f4a941.94764f78.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-60f4a941.94764f78.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:21	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:30%20GMT	http://app.pillar.io/css/chunk-6230b446.7e04b4a6.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-6230b446.7e04b4a6.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:21	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:31%20GMT	http://app.pillar.io/css/chunk-729ab904.013fd4bd.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-729ab904.013fd4bd.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:21	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:31%20GMT	http://app.pillar.io/css/chunk-7542136e.7fe9d294.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-7542136e.7fe9d294.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:21	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:31%20GMT	http://app.pillar.io/css/chunk-78893996.d0f529f2.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-78893996.d0f529f2.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:21	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:31%20GMT	http://app.pillar.io/css/chunk-796671fa.22f2691d.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-796671fa.22f2691d.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:22	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:32%20GMT	http://app.pillar.io/css/chunk-7ab0f132.891d0b6c.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-7ab0f132.891d0b6c.css	(from https://app.pillar.io/store/kingarthvr_)
